t_s,dda_pos_x,dda_pos_y,dda_pos_z,enc_rel_x,enc_rel_y,enc_rel_z,vel_sps_x,vel_sps_y,vel_sps_z,err_steps_x,err_steps_y,err_steps_z,active_load_x,active_load_y,active_load_z,load_timer_x,load_timer_y,load_timer_z,span_steps,global_stop
1.025,7890.0,6303.0,4738.0,7883.5,6298.5,4734.5,7000.0,5000.0,4000.0,-9.875,0.5,-10.125,700.0,900.0,0.0,0.6760000000000005,0.12600000000000008,0.0,3152.0,0
1.026,7896.0,6309.0,4741.0,7890.5,6303.5,4738.5,6000.0,6000.0,3000.0,-10.625,0.5,-10.375,700.0,900.0,0.0,0.6770000000000005,0.12700000000000009,0.0,3155.0,0
1.027,7903.0,6314.0,4745.0,7896.5,6309.5,4741.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.6780000000000005,0.12800000000000009,0.0,3158.0,0
1.028,7909.0,6319.0,4749.0,7903.5,6314.5,4745.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.6790000000000005,0.1290000000000001,0.0,3160.0,0
1.029,7916.0,6324.0,4753.0,7909.5,6319.5,4749.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.6800000000000005,0.1300000000000001,0.0,3163.0,0
1.03,7923.0,6330.0,4757.0,7916.5,6324.5,4753.5,7000.0,6000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.6810000000000005,0.1310000000000001,0.0,3166.0,0
1.031,7929.0,6335.0,4761.0,7923.5,6330.5,4757.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.6820000000000005,0.1320000000000001,0.0,3168.0,0
1.032,7936.0,6340.0,4765.0,7929.5,6335.5,4761.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.6830000000000005,0.1330000000000001,0.0,3171.0,0
1.033,7943.0,6345.0,4769.0,7936.5,6340.5,4765.5,7000.0,5000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.6840000000000005,0.1340000000000001,0.0,3174.0,0
1.034,7949.0,6351.0,4773.0,7943.5,6345.5,4769.5,6000.0,6000.0,4000.0,-11.125,0.5,-9.875,700.0,900.0,0.0,0.6850000000000005,0.1350000000000001,0.0,3176.0,0
1.035,7956.0,6356.0,4777.0,7949.5,6351.5,4773.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.6860000000000005,0.1360000000000001,0.0,3179.0,0
1.036,7962.0,6361.0,4781.0,7956.5,6356.5,4777.5,6000.0,5000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.6870000000000005,0.1370000000000001,0.0,3181.0,0
1.037,7968.0,6366.0,4784.0,7962.5,6361.5,4781.5,6000.0,5000.0,3000.0,-10.125,0.5,-9.875,700.0,900.0,0.0,0.6880000000000005,0.1380000000000001,0.0,3184.0,0
1.038,7975.0,6372.0,4788.0,7968.5,6366.5,4784.5,7000.0,6000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.6890000000000005,0.1390000000000001,0.0,3187.0,0
1.039,7981.0,6377.0,4792.0,7975.5,6372.5,4788.5,6000.0,5000.0,4000.0,-9.375,0.5,-8.625,700.0,900.0,0.0,0.6900000000000005,0.1400000000000001,0.0,3189.0,0
1.04,7988.0,6382.0,4796.0,7981.5,6377.5,4792.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.6910000000000005,0.1410000000000001,0.0,3192.0,0
1.041,7995.0,6387.0,4800.0,7988.5,6382.5,4796.5,7000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.6920000000000005,0.1420000000000001,0.0,3195.0,0
1.042,8001.0,6393.0,4804.0,7995.5,6387.5,4800.5,6000.0,6000.0,4000.0,-10.625,0.5,-9.375,700.0,900.0,0.0,0.6930000000000005,0.1430000000000001,0.0,3197.0,0
1.043,8008.0,6398.0,4808.0,8001.5,6393.5,4804.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.6940000000000005,0.1440000000000001,0.0,3200.0,0
1.044,8015.0,6403.0,4812.0,8008.5,6398.5,4808.5,7000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.6950000000000005,0.1450000000000001,0.0,3203.0,0
1.045,8021.0,6408.0,4816.0,8015.5,6403.5,4812.5,6000.0,5000.0,4000.0,-10.625,0.5,-9.375,700.0,900.0,0.0,0.6960000000000005,0.1460000000000001,0.0,3205.0,0
1.046,8027.0,6414.0,4820.0,8021.5,6408.5,4816.5,6000.0,6000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.6970000000000005,0.1470000000000001,0.0,3207.0,0
1.047,8034.0,6419.0,4824.0,8027.5,6414.5,4820.5,7000.0,5000.0,4000.0,-8.875,0.5,-9.125,700.0,900.0,0.0,0.6980000000000005,0.1480000000000001,0.0,3210.0,0
1.048,8041.0,6424.0,4828.0,8034.5,6419.5,4824.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.6990000000000005,0.1490000000000001,0.0,3213.0,0
1.049,8047.0,6429.0,4832.0,8041.5,6424.5,4828.5,6000.0,5000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.7000000000000005,0.1500000000000001,0.0,3215.0,0
1.05,8053.0,6435.0,4836.0,8047.5,6429.5,4832.5,6000.0,6000.0,4000.0,-10.125,0.5,-9.875,700.0,900.0,0.0,0.7010000000000005,0.1510000000000001,0.0,3217.0,0
1.051,8060.0,6440.0,4840.0,8053.5,6435.5,4836.5,7000.0,5000.0,4000.0,-8.625,0.5,-9.375,700.0,900.0,0.0,0.7020000000000005,0.1520000000000001,0.0,3220.0,0
1.052,8066.0,6445.0,4843.0,8060.5,6440.5,4840.5,6000.0,5000.0,3000.0,-9.375,0.5,-9.625,700.0,900.0,0.0,0.7030000000000005,0.1530000000000001,0.0,3223.0,0
1.053,8073.0,6450.0,4847.0,8066.5,6445.5,4843.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7040000000000005,0.1540000000000001,0.0,3226.0,0
1.054,8080.0,6456.0,4851.0,8073.5,6450.5,4847.5,7000.0,6000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7050000000000005,0.1550000000000001,0.0,3229.0,0
1.055,8086.0,6461.0,4855.0,8080.5,6456.5,4851.5,6000.0,5000.0,4000.0,-9.375,0.5,-8.625,700.0,900.0,0.0,0.7060000000000005,0.1560000000000001,0.0,3231.0,0
1.056,8093.0,6466.0,4859.0,8086.5,6461.5,4855.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7070000000000005,0.1570000000000001,0.0,3234.0,0
1.057,8100.0,6471.0,4863.0,8093.5,6466.5,4859.5,7000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7080000000000005,0.1580000000000001,0.0,3237.0,0
1.058,8106.0,6477.0,4867.0,8100.5,6471.5,4863.5,6000.0,6000.0,4000.0,-10.625,0.5,-9.375,700.0,900.0,0.0,0.7090000000000005,0.1590000000000001,0.0,3239.0,0
1.059,8113.0,6482.0,4871.0,8106.5,6477.5,4867.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7100000000000005,0.16000000000000011,0.0,3242.0,0
1.06,8119.0,6487.0,4875.0,8113.5,6482.5,4871.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7110000000000005,0.16100000000000012,0.0,3244.0,0
1.061,8126.0,6492.0,4879.0,8119.5,6487.5,4875.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7120000000000005,0.16200000000000012,0.0,3247.0,0
1.062,8133.0,6498.0,4883.0,8126.5,6492.5,4879.5,7000.0,6000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.7130000000000005,0.16300000000000012,0.0,3250.0,0
1.063,8139.0,6503.0,4887.0,8133.5,6498.5,4883.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7140000000000005,0.16400000000000012,0.0,3252.0,0
1.064,8146.0,6508.0,4891.0,8139.5,6503.5,4887.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7150000000000005,0.16500000000000012,0.0,3255.0,0
1.065,8152.0,6513.0,4895.0,8146.5,6508.5,4891.5,6000.0,5000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.7160000000000005,0.16600000000000012,0.0,3257.0,0
1.066,8159.0,6519.0,4899.0,8152.5,6513.5,4895.5,7000.0,6000.0,4000.0,-10.125,0.5,-9.875,700.0,900.0,0.0,0.7170000000000005,0.16700000000000012,0.0,3260.0,0
1.067,8165.0,6524.0,4903.0,8159.5,6519.5,4899.5,6000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7180000000000005,0.16800000000000012,0.0,3262.0,0
1.068,8172.0,6529.0,4906.0,8165.5,6524.5,4903.5,7000.0,5000.0,3000.0,-9.375,0.5,-9.625,700.0,900.0,0.0,0.7190000000000005,0.16900000000000012,0.0,3266.0,0
1.069,8178.0,6534.0,4910.0,8172.5,6529.5,4906.5,6000.0,5000.0,4000.0,-10.125,0.5,-8.875,700.0,900.0,0.0,0.7200000000000005,0.17000000000000012,0.0,3268.0,0
1.07,8185.0,6540.0,4914.0,8178.5,6534.5,4910.5,7000.0,6000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7210000000000005,0.17100000000000012,0.0,3271.0,0
1.071,8191.0,6545.0,4918.0,8185.5,6540.5,4914.5,6000.0,5000.0,4000.0,-9.375,0.5,-8.625,700.0,900.0,0.0,0.7220000000000005,0.17200000000000013,0.0,3273.0,0
1.072,8198.0,6550.0,4922.0,8191.5,6545.5,4918.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7230000000000005,0.17300000000000013,0.0,3276.0,0
1.073,8205.0,6555.0,4926.0,8198.5,6550.5,4922.5,7000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7240000000000005,0.17400000000000013,0.0,3279.0,0
1.074,8211.0,6561.0,4930.0,8205.5,6555.5,4926.5,6000.0,6000.0,4000.0,-10.625,0.5,-9.375,700.0,900.0,0.0,0.7250000000000005,0.17500000000000013,0.0,3281.0,0
1.075,8218.0,6566.0,4934.0,8211.5,6561.5,4930.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7260000000000005,0.17600000000000013,0.0,3284.0,0
1.076,8224.0,6571.0,4938.0,8218.5,6566.5,4934.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7270000000000005,0.17700000000000013,0.0,3286.0,0
1.077,8231.0,6576.0,4942.0,8224.5,6571.5,4938.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7280000000000005,0.17800000000000013,0.0,3289.0,0
1.078,8237.0,6582.0,4946.0,8231.5,6576.5,4942.5,6000.0,6000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.7290000000000005,0.17900000000000013,0.0,3291.0,0
1.079,8244.0,6587.0,4950.0,8237.5,6582.5,4946.5,7000.0,5000.0,4000.0,-8.875,0.5,-9.125,700.0,900.0,0.0,0.7300000000000005,0.18000000000000013,0.0,3294.0,0
1.08,8251.0,6592.0,4954.0,8244.5,6587.5,4950.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7310000000000005,0.18100000000000013,0.0,3297.0,0
1.081,8257.0,6597.0,4958.0,8251.5,6592.5,4954.5,6000.0,5000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.7320000000000005,0.18200000000000013,0.0,3299.0,0
1.082,8263.0,6603.0,4962.0,8257.5,6597.5,4958.5,6000.0,6000.0,4000.0,-10.125,0.5,-9.875,700.0,900.0,0.0,0.7330000000000005,0.18300000000000013,0.0,3301.0,0
1.083,8270.0,6608.0,4966.0,8263.5,6603.5,4962.5,7000.0,5000.0,4000.0,-8.625,0.5,-9.375,700.0,900.0,0.0,0.7340000000000005,0.18400000000000014,0.0,3304.0,0
1.084,8276.0,6613.0,4969.0,8270.5,6608.5,4966.5,6000.0,5000.0,3000.0,-9.375,0.5,-9.625,700.0,900.0,0.0,0.7350000000000005,0.18500000000000014,0.0,3307.0,0
1.085,8283.0,6618.0,4973.0,8276.5,6613.5,4969.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7360000000000005,0.18600000000000014,0.0,3310.0,0
1.086,8289.0,6624.0,4977.0,8283.5,6618.5,4973.5,6000.0,6000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7370000000000005,0.18700000000000014,0.0,3312.0,0
1.087,8296.0,6629.0,4981.0,8289.5,6624.5,4977.5,7000.0,5000.0,4000.0,-8.375,0.5,-8.625,700.0,900.0,0.0,0.7380000000000005,0.18800000000000014,0.0,3315.0,0
1.088,8303.0,6634.0,4985.0,8296.5,6629.5,4981.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7390000000000005,0.18900000000000014,0.0,3318.0,0
1.089,8309.0,6639.0,4989.0,8303.5,6634.5,4985.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7400000000000005,0.19000000000000014,0.0,3320.0,0
1.09,8316.0,6645.0,4993.0,8309.5,6639.5,4989.5,7000.0,6000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7410000000000005,0.19100000000000014,0.0,3323.0,0
1.091,8323.0,6650.0,4997.0,8316.5,6645.5,4993.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7420000000000005,0.19200000000000014,0.0,3326.0,0
1.092,8329.0,6655.0,5001.0,8323.5,6650.5,4997.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7430000000000005,0.19300000000000014,0.0,3328.0,0
1.093,8336.0,6660.0,5005.0,8329.5,6655.5,5001.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7440000000000005,0.19400000000000014,0.0,3331.0,0
1.094,8342.0,6666.0,5009.0,8336.5,6660.5,5005.5,6000.0,6000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.7450000000000006,0.19500000000000015,0.0,3333.0,0
1.095,8349.0,6671.0,5013.0,8342.5,6666.5,5009.5,7000.0,5000.0,4000.0,-8.875,0.5,-9.125,700.0,900.0,0.0,0.7460000000000006,0.19600000000000015,0.0,3336.0,0
1.096,8355.0,6676.0,5017.0,8349.5,6671.5,5013.5,6000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7470000000000006,0.19700000000000015,0.0,3338.0,0
1.097,8362.0,6681.0,5021.0,8355.5,6676.5,5017.5,7000.0,5000.0,4000.0,-9.375,0.5,-9.625,700.0,900.0,0.0,0.7480000000000006,0.19800000000000015,0.0,3341.0,0
1.098,8368.0,6687.0,5025.0,8362.5,6681.5,5021.5,6000.0,6000.0,4000.0,-10.125,0.5,-9.875,700.0,900.0,0.0,0.7490000000000006,0.19900000000000015,0.0,3343.0,0
1.099,8375.0,6692.0,5028.0,8368.5,6687.5,5025.5,7000.0,5000.0,3000.0,-8.625,0.5,-9.375,700.0,900.0,0.0,0.7500000000000006,0.20000000000000015,0.0,3347.0,0
1.1,8381.0,6697.0,5032.0,8375.5,6692.5,5028.5,6000.0,5000.0,4000.0,-9.375,0.5,-8.625,700.0,900.0,0.0,0.7510000000000006,0.20100000000000015,0.0,3349.0,0
1.101,8388.0,6702.0,5036.0,8381.5,6697.5,5032.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7520000000000006,0.20200000000000015,0.0,3352.0,0
1.102,8395.0,6708.0,5040.0,8388.5,6702.5,5036.5,7000.0,6000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7530000000000006,0.20300000000000015,0.0,3355.0,0
1.103,8401.0,6713.0,5044.0,8395.5,6708.5,5040.5,6000.0,5000.0,4000.0,-9.375,0.5,-8.625,700.0,900.0,0.0,0.7540000000000006,0.20400000000000015,0.0,3357.0,0
1.104,8408.0,6718.0,5048.0,8401.5,6713.5,5044.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7550000000000006,0.20500000000000015,0.0,3360.0,0
1.105,8414.0,6723.0,5052.0,8408.5,6718.5,5048.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7560000000000006,0.20600000000000016,0.0,3362.0,0
1.106,8421.0,6729.0,5056.0,8414.5,6723.5,5052.5,7000.0,6000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7570000000000006,0.20700000000000016,0.0,3365.0,0
1.107,8428.0,6734.0,5060.0,8421.5,6729.5,5056.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7580000000000006,0.20800000000000016,0.0,3368.0,0
1.108,8434.0,6739.0,5064.0,8428.5,6734.5,5060.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7590000000000006,0.20900000000000016,0.0,3370.0,0
1.109,8441.0,6744.0,5068.0,8434.5,6739.5,5064.5,7000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7600000000000006,0.21000000000000016,0.0,3373.0,0
1.11,8447.0,6750.0,5072.0,8441.5,6744.5,5068.5,6000.0,6000.0,4000.0,-10.375,0.5,-9.625,700.0,900.0,0.0,0.7610000000000006,0.21100000000000016,0.0,3375.0,0
1.111,8454.0,6755.0,5076.0,8447.5,6750.5,5072.5,7000.0,5000.0,4000.0,-8.875,0.5,-9.125,700.0,900.0,0.0,0.7620000000000006,0.21200000000000016,0.0,3378.0,0
1.112,8460.0,6760.0,5080.0,8454.5,6755.5,5076.5,6000.0,5000.0,4000.0,-9.625,0.5,-9.375,700.0,900.0,0.0,0.7630000000000006,0.21300000000000016,0.0,3380.0,0
1.113,8467.0,6765.0,5084.0,8460.5,6760.5,5080.5,7000.0,5000.0,4000.0,-9.375,0.5,-9.625,700.0,900.0,0.0,0.7640000000000006,0.21400000000000016,0.0,3383.0,0
1.114,8473.0,6771.0,5088.0,8467.5,6765.5,5084.5,6000.0,6000.0,4000.0,-10.125,0.5,-9.875,700.0,900.0,0.0,0.7650000000000006,0.21500000000000016,0.0,3385.0,0
1.115,8480.0,6776.0,5091.0,8473.5,6771.5,5088.5,7000.0,5000.0,3000.0,-8.625,0.5,-9.375,700.0,900.0,0.0,0.7660000000000006,0.21600000000000016,0.0,3389.0,0
1.116,8487.0,6781.0,5095.0,8480.5,6776.5,5091.5,7000.0,5000.0,4000.0,-9.375,0.5,-8.625,700.0,900.0,0.0,0.7670000000000006,0.21700000000000016,0.0,3392.0,0
1.117,8493.0,6786.0,5099.0,8487.5,6781.5,5095.5,6000.0,5000.0,4000.0,-10.125,0.5,-8.875,700.0,900.0,0.0,0.7680000000000006,0.21800000000000017,0.0,3394.0,0
1.118,8499.0,6792.0,5103.0,8493.5,6786.5,5099.5,6000.0,6000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7690000000000006,0.21900000000000017,0.0,3396.0,0
1.119,8506.0,6797.0,5107.0,8499.5,6792.5,5103.5,7000.0,5000.0,4000.0,-8.375,0.5,-8.625,700.0,900.0,0.0,0.7700000000000006,0.22000000000000017,0.0,3399.0,0
1.12,8513.0,6802.0,5111.0,8506.5,6797.5,5107.5,7000.0,5000.0,4000.0,-9.125,0.5,-8.875,700.0,900.0,0.0,0.7710000000000006,0.22100000000000017,0.0,3402.0,0
1.121,8519.0,6807.0,5115.0,8513.5,6802.5,5111.5,6000.0,5000.0,4000.0,-9.875,0.5,-9.125,700.0,900.0,0.0,0.7720000000000006,0.22200000000000017,0.0,3404.0,0
