1,184,5058,1109
2,183,-40425,1106
0,186,-40451,1122
1,185,5059,1120
2,185,-40430,1117
0,187,-40455,1133
1,187,5059,1130
2,187,-40436,1128
0,189,-40462,1144
1,189,5061,1141
2,188,-40443,1139
0,191,-40470,1155
1,190,5061,1152
2,190,-40454,1149
0,192,-40478,1166
1,192,5063,1163
2,191,-40461,1160
0,194,-40488,1176
1,193,5063,1174
2,193,-40473,1171
0,195,-40496,1187
1,195,5065,1185
2,194,-40479,1182
0,197,-40504,1198
1,196,5065,1195
2,196,-40486,1193
0,197,-40504,1200
1,197,5065,1200
2,197,-40486,1200
0,198,-40513,1210
1,198,5065,1207
2,198,-40492,1204
0,200,-40518,1220
1,200,5066,1218
2,199,-40494,1215
0,202,-40521,1231
1,201,5067,1228
2,201,-40498,1226
0,203,-40525,1242
1,203,5067,1239
2,202,-40499,1237
0,205,-40527,1253
1,204,5067,1250
2,204,-40501,1248
0,206,-40530,1264
1,206,5067,1261
2,206,-40503,1258
0,208,-40531,1274
1,207,5067,1272
2,207,-40504,1269
0,209,-40533,1285
1,209,5067,1283
2,209,-40505,1280
0,211,-40533,1296
1,211,5068,1293
2,210,-40506,1291
0,211,-40533,1300
1,212,5068,1300
2,212,-40506,1300
0,213,-40535,1308
1,212,5068,1305
2,212,-40507,1302
0,214,-40536,1318
1,214,5069,1316
2,213,-40508,1313
0,216,-40538,1329
1,215,5069,1327
2,215,-40510,1324
0,217,-40540,1340
1,217,5069,1337
2,217,-40512,1335
0,219,-40543,1351
1,219,5069,1348
2,218,-40514,1346
0,221,-40546,1362
1,220,5070,1359
2,220,-40517,1357
0,222,-40550,1373
1,222,5071,1370
2,221,-40521,1367
0,224,-40554,1384
1,223,5071,1381
2,223,-40526,1378
0,225,-40561,1395
1,225,5073,1392
2,225,-40533,1389
0,226,-40561,1400
1,226,5073,1400
2,226,-40533,1400
0,227,-40570,1406
1,227,5073,1404
2,226,-40545,1401
0,229,-40576,1417
1,228,5075,1414
